"Speed","Radius_big","Radius_small","Length","Pressure_1","Pressure_2","Viscosity","Kf_a","Kf_b","Kf_c","","","",""
"26.7","2.2","1.4","36.5","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"37.4","2.2","0.9","146.9","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"41.6","2.2","0.6","996.7","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"21.2","2.2","1.6","963.0","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"44.1","2.2","0.3","702.9","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"7.8","2.2","2.0","503.3","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"21.2","2.2","1.6","435.1","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"37.4","2.2","0.9","421.6","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"4.0","2.2","2.1","750.5","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"44.1","2.2","0.3","108.3","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"24.0","2.2","1.5","869.8","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"26.7","2.2","1.4","170.0","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"41.6","2.2","0.6","309.9","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"21.2","2.2","1.6","826.1","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"31.5","2.2","1.2","535.0","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"26.7","2.2","1.4","945.1","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"7.8","2.2","2.0","857.2","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"35.6","2.2","1.0","817.6","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"29.2","2.2","1.3","625.1","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"41.6","2.2","0.6","978.8","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"7.8","2.2","2.0","929.0","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"39.0","2.2","0.8","541.4","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"39.0","2.2","0.8","368.6","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"26.3","1.5","0.7","654.0","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.5","1.5","0.1","281.7","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"12.1","1.5","1.2","263.1","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.5","1.5","0.1","834.7","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.7","1.5","0.0","567.5","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"15.6","1.5","1.1","748.5","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"21.6","1.5","0.9","480.7","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"0.0","1.5","1.5","719.2","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"4.3","1.5","1.4","152.9","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"32.3","1.5","0.3","811.3","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.5","1.5","0.1","708.6","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"4.3","1.5","1.4","88.8","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"15.6","1.5","1.1","90.7","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"18.7","1.5","1.0","480.6","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"15.6","1.5","1.1","368.6","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"18.7","1.5","1.0","631.3","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"15.6","1.5","1.1","800.8","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"32.3","1.5","0.3","608.9","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.7","1.5","0.0","299.1","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"29.9","1.5","0.5","302.6","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"18.7","1.5","1.0","174.0","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"15.6","1.5","1.1","118.0","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"8.4","1.5","1.3","676.5","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"18.7","1.5","1.0","651.1","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"32.3","1.5","0.3","413.0","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"12.1","1.5","1.2","353.5","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"28.3","1.5","0.6","354.6","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.1","1.5","0.2","773.5","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"29.9","1.5","0.5","57.0","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"33.5","1.5","0.1","80.0","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"0.0","1.5","1.5","47.8","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"21.6","1.5","0.9","613.7","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"32.3","1.5","0.3","396.1","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"18.7","1.5","1.0","873.5","900.0","721.0","0.005","-15.0","0","33.7","","","",""
"0.7","4.2","4.0","922.8","152.1","135.6","0.010","-0.5","0","8.0","","","",""
"19.9","1.5","0.1","573.1","194.2","12.3","0.009","-9.0","0","20.0","","","",""
"6.8","1.7","0.8","819.5","105.0","40.5","0.007","-2.8","0","8.4","","","",""
"42.6","1.6","1.1","501.2","168.3","20.1","0.002","-29.8","0","80.7","","","",""
"5.6","4.0","3.7","722.3","163.2","119.1","0.006","-2.4","0","38.6","","","",""
"60.8","3.6","0.6","569.0","166.3","87.6","0.007","-4.8","0","62.7","","","",""
"2.2","1.6","1.2","264.9","60.0","44.7","0.008","-1.8","0","4.7","","","",""
"0.5","0.7","0.1","687.3","27.7","15.6","0.004","-1.1","0","0.5","","","",""
"487.8","3.2","0.7","78.2","168.6","150.3","0.001","-49.6","0","514.3","","","",""
"14.1","1.2","0.3","74.1","100.1","95.9","0.001","-11.0","0","15.0","","","",""
"0.3","1.0","0.8","832.3","188.3","185.3","0.001","-0.8","0","0.8","","","",""
"241.3","3.1","0.6","763.5","60.1","16.6","0.001","-25.3","0","249.2","","","",""
"0.0","0.0","0.0","546.0","196.6","39.9","0.009","-8.2","0","0.0","","","",""
"178.5","4.4","1.1","447.9","47.3","24.1","0.001","-10.0","0","190.1","","","",""
"440.4","3.3","2.7","424.7","164.6","66.5","0.000","-124.1","0","1342.9","","","",""
"342.5","4.3","0.7","618.8","92.5","10.5","0.002","-18.6","0","352.4","","","",""
"0.0","0.0","0.0","40.0","51.3","37.3","0.010","-8.8","0","0.0","","","",""
"13.8","1.3","0.8","343.5","166.8","122.6","0.002","-15.1","0","24.0","","","",""
"169.9","2.3","0.2","209.0","181.1","18.6","0.006","-31.1","0","171.4","","","",""
"0.6","0.8","0.8","187.8","65.9","12.0","0.005","-15.7","0","10.0","","","",""
"1.4","2.9","2.8","738.7","154.2","113.0","0.006","-2.2","0","18.4","","","",""
"28.4","2.8","1.2","511.2","83.0","5.1","0.009","-4.2","0","34.1","","","",""
"45.7","1.9","0.7","42.6","61.4","40.7","0.008","-14.9","0","53.7","","","",""
"60.4","4.0","3.7","978.8","63.3","12.0","0.000","-34.1","0","536.7","","","",""
"8.7","1.0","0.3","201.9","125.6","59.7","0.008","-10.5","0","10.0","","","",""
"6.7","1.7","1.2","592.0","172.7","155.6","0.001","-5.0","0","14.0","","","",""
"100.8","4.4","0.2","181.8","36.7","34.4","0.001","-5.3","0","100.9","","","",""
"35.2","5.0","0.3","820.4","95.2","83.8","0.002","-1.4","0","35.3","","","",""
"601.9","1.2","0.6","28.3","182.3","1.5","0.003","-491.1","0","754.1","","","",""
"86.2","3.6","0.9","841.5","170.6","47.8","0.005","-7.0","0","91.6","","","",""
"0.0","0.4","0.3","684.5","5.2","0.5","0.003","-0.6","0","0.1","","","",""
"33.6","1.2","0.2","840.0","119.8","47.5","0.001","-25.0","0","34.2","","","",""
"342.8","3.9","2.7","48.4","87.1","11.6","0.009","-43.8","0","664.3","","","",""
"2.3","1.2","0.6","944.1","73.5","56.8","0.002","-2.1","0","2.9","","","",""
"0.6","3.2","3.2","715.1","179.0","67.9","0.004","-10.3","0","104.3","","","",""
"341.2","3.5","0.8","510.6","195.4","28.1","0.003","-28.9","0","359.1","","","",""
"166.9","4.5","0.8","543.4","176.6","30.2","0.008","-8.4","0","172.6","","","",""
"27.0","3.7","0.2","790.2","96.6","51.3","0.007","-1.9","0","27.1","","","",""
"0.8","0.9","0.8","833.3","144.1","5.6","0.005","-9.2","0","6.8","","","",""
"10.7","3.1","0.2","363.8","30.6","21.5","0.005","-1.1","0","10.8","","","",""
"19.7","2.3","1.1","618.1","153.7","76.9","0.006","-4.9","0","25.7","","","",""
"733.0","4.3","3.4","897.9","184.5","60.6","0.000","-102.6","0","1891.9","","","",""
"1.5","0.5","0.1","289.1","165.6","89.3","0.009","-7.5","0","1.6","","","",""
"521.5","4.1","3.1","197.7","181.7","49.7","0.002","-73.2","0","1224.7","","","",""
"0.0","0.0","0.0","929.1","18.6","5.9","0.008","-0.5","0","0.0","","","",""
"92.9","3.1","1.6","668.7","108.8","2.9","0.003","-12.5","0","124.2","","","",""
"42.7","2.9","2.1","393.6","118.1","35.9","0.005","-10.8","0","92.1","","","",""
"0.9","1.3","0.9","663.9","92.4","78.3","0.005","-1.1","0","1.7","","","",""
"1.0","1.4","0.5","729.0","34.3","19.9","0.008","-0.6","0","1.1","","","",""
